date,nav
07-09-2022,10.47330
06-09-2022,10.48690
05-09-2022,10.48150
02-09-2022,10.42080
01-09-2022,10.42570
30-08-2022,10.53480
29-08-2022,10.27900
26-08-2022,10.41140
25-08-2022,10.38430
24-08-2022,10.42470
23-08-2022,10.40220
22-08-2022,10.35330
19-08-2022,10.51420
18-08-2022,10.62380
17-08-2022,10.60240
16-08-2022,10.52880
12-08-2022,10.44270
11-08-2022,10.41790
10-08-2022,10.33960
08-08-2022,10.33820
05-08-2022,10.25980
04-08-2022,10.25860
03-08-2022,10.25470
02-08-2022,10.23790
01-08-2022,10.22610
29-07-2022,10.11210
28-07-2022,9.98000
27-07-2022,9.81890
26-07-2022,9.72820
25-07-2022,9.81970
22-07-2022,9.86530
21-07-2022,9.81460
20-07-2022,9.74720
19-07-2022,9.65540
18-07-2022,9.61680
15-07-2022,9.48470
14-07-2022,9.42510
13-07-2022,9.43560
12-07-2022,9.48520
11-07-2022,9.56650
08-07-2022,9.54290
07-07-2022,9.49420
06-07-2022,9.41170
05-07-2022,9.29950
04-07-2022,9.30900
01-07-2022,9.25450
30-06-2022,9.25680
29-06-2022,9.26710
28-06-2022,9.29910
27-06-2022,9.28860
24-06-2022,9.21280
23-06-2022,9.12490
22-06-2022,9.03960
21-06-2022,9.17560
20-06-2022,8.99700
17-06-2022,8.97590
16-06-2022,9.03070
15-06-2022,9.22120
14-06-2022,9.23230
13-06-2022,9.25060
10-06-2022,9.48900
09-06-2022,9.63910
08-06-2022,9.56680
07-06-2022,9.60120
06-06-2022,9.68740
03-06-2022,9.70040
02-06-2022,9.74240
01-06-2022,9.68230
31-05-2022,9.72780
30-05-2022,9.75530
27-05-2022,9.57160
26-05-2022,9.46610
25-05-2022,9.36650
24-05-2022,9.43640
23-05-2022,9.49550
20-05-2022,9.53640
19-05-2022,9.27990
18-05-2022,9.54550
17-05-2022,9.55380
16-05-2022,9.31580
13-05-2022,9.26350
12-05-2022,9.28490
11-05-2022,9.49060
10-05-2022,9.52840
09-05-2022,9.59410
06-05-2022,9.67890
05-05-2022,9.84220
04-05-2022,9.83490
02-05-2022,10.07010
29-04-2022,10.09170
28-04-2022,10.18150
27-04-2022,10.05740
26-04-2022,10.15920
25-04-2022,10.00200
22-04-2022,10.13870
21-04-2022,10.25730
20-04-2022,10.11340
19-04-2022,10.01920
18-04-2022,10.15340
13-04-2022,10.30780
12-04-2022,10.33210
11-04-2022,10.42100
08-04-2022,10.45400
07-04-2022,10.35720
06-04-2022,10.44630
05-04-2022,10.51620
04-04-2022,10.54920
01-04-2022,10.33280
31-03-2022,10.20730
30-03-2022,10.22240
29-03-2022,10.13150
28-03-2022,10.07310
25-03-2022,10.04330
24-03-2022,10.07760
23-03-2022,10.08720
22-03-2022,10.11800
21-03-2022,10.01680
17-03-2022,10.12070
16-03-2022,9.94540
15-03-2022,9.75940
14-03-2022,9.87560
11-03-2022,9.76350
10-03-2022,9.73930
09-03-2022,9.58870
08-03-2022,9.40550
07-03-2022,9.31220
04-03-2022,9.53780
03-03-2022,9.69730
02-03-2022,9.75140
28-02-2022,9.84390
25-02-2022,9.76210
24-02-2022,9.50810
23-02-2022,9.98930
